file_name,width,height,file_size_mb,status,label_status,plane_count,baseball-diamond_count,bridge_count,ground-track-field_count,small-vehicle_count,large-vehicle_count,ship_count,tennis-court_count,basketball-court_count,storage-tank_count,soccer-ball-field_count,roundabout_count,harbor_count,swimming-pool_count,helicopter_count
P0210__1024__0___0.png,1024,1024,1.2661,success,success,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1212__1024__824___1648.png,1024,1024,0.8202,success,success,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P1747__1024__2472___824.png,1024,1024,1.1149,success,success,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
P1537__1024__1648___0.png,1024,1024,0.9391,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1526__1024__2976___0.png,1024,1024,0.948,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1604__1024__0___2976.png,1024,1024,1.1345,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2321__1024__0___0.png,1024,1024,0.3129,success,success,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
P1148__1024__0___824.png,1024,1024,0.7173,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1096__1024__3296___295.png,1024,1024,1.7866,success,success,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
P0039__1024__2472___824.png,1024,1024,1.1115,success,success,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
P1786__1024__824___2643.png,1024,1024,1.6905,success,success,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
P2686__1024__824___0.png,1024,1024,1.8248,success,success,0,0,0,0,0,0,40,0,0,0,0,0,4,0,0
P1653__1024__2976___824.png,1024,1024,0.9723,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1128__1024__0___0.png,1024,1024,0.9314,success,success,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1457__1024__824___3296.png,1024,1024,1.9645,success,success,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0
P1255__1024__0___0.png,1024,1024,1.3315,success,success,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P1457__1024__4169___2472.png,1024,1024,1.9002,success,success,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
P1380__1024__824___2472.png,1024,1024,1.3384,success,success,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
P1808__1024__0___507.png,1024,1024,1.995,success,success,0,0,0,0,6,61,0,0,0,0,0,0,0,0,0
P2007__1024__0___0.png,1024,1024,2.1878,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2509__1024__824___0.png,1024,1024,1.3523,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1570__1024__824___3940.png,1024,1024,0.746,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2164__1024__824___1621.png,1024,1024,1.7775,success,success,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0
P1521__1024__2472___2472.png,1024,1024,1.123,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1067__1024__824___0.png,1024,1024,2.1313,success,success,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
P1683__1024__1648___2472.png,1024,1024,0.637,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2758__1024__824___3322.png,1024,1024,0.6512,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1871__1024__4120___824.png,1024,1024,1.9289,success,success,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2509__1024__0___1211.png,1024,1024,1.9366,success,success,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P1726__1024__824___0.png,1024,1024,1.0219,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1231__1024__2472___2976.png,1024,1024,1.0902,success,success,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P1287__1024__3296___824.png,1024,1024,0.5333,success,success,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P1685__1024__824___0.png,1024,1024,0.7125,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1143__1024__4814___0.png,1024,1024,0.6989,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1633__1024__2976___2472.png,1024,1024,0.7502,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1599__1024__1648___2472.png,1024,1024,0.8409,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1647__1024__2976___1648.png,1024,1024,0.9709,success,success,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
P2483__1024__655___0.png,1024,1024,1.622,success,success,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P1554__1024__2472___0.png,1024,1024,0.706,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1352__1024__0___1648.png,1024,1024,1.3103,success,success,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
P1617__1024__2976___824.png,1024,1024,0.5584,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1143__1024__1648___0.png,1024,1024,0.7789,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2637__1024__824___1507.png,1024,1024,2.0093,success,success,0,0,0,0,43,13,0,0,0,0,0,0,0,0,0
P1594__1024__0___824.png,1024,1024,1.2587,success,success,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P1399__1024__5592___1648.png,1024,1024,1.6878,success,success,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0374__1024__0___0.png,1024,1024,1.7738,success,success,0,1,0,0,17,0,0,0,2,0,0,0,0,0,0
P0087__1024__1648___3296.png,1024,1024,2.3201,success,success,0,0,0,0,46,0,0,0,0,0,0,0,0,1,0
P1845__1024__2472___2463.png,1024,1024,1.7458,success,success,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
P2729__1024__0___0.png,1024,1024,1.6131,success,success,0,0,0,0,0,0,42,0,0,0,0,0,3,0,0
P1805__1024__424___0.png,1024,1024,1.8495,success,success,0,0,0,0,28,18,0,0,0,0,0,0,0,0,0
P1537__1024__824___824.png,1024,1024,0.9167,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1179__1024__2472___1648.png,1024,1024,1.8933,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0763__1024__634___0.png,1024,1024,1.9998,success,success,0,0,0,0,19,1,23,0,0,0,0,0,21,0,0
P1376__1024__0___3296.png,1024,1024,0.9187,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1319__1024__4176___2976.png,1024,1024,1.2659,success,success,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P2733__1024__824___1588.png,1024,1024,1.5463,success,success,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0
P1278__1024__4176___2472.png,1024,1024,0.5754,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1846__1024__52___7.png,1024,1024,1.9127,success,success,0,0,0,0,87,1,0,0,0,0,0,0,0,0,0
P0947__1024__4120___0.png,1024,1024,1.7154,success,success,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
P2729__1024__0___1605.png,1024,1024,1.5633,success,success,0,0,0,0,0,3,26,0,0,4,0,0,0,0,0
P2673__1024__0___824.png,1024,1024,2.0865,success,success,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0
P1354__1024__1648___2472.png,1024,1024,1.513,success,success,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
P1094__1024__183___2472.png,1024,1024,1.7366,success,success,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
P2705__1024__444___824.png,1024,1024,1.5252,success,success,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
P1929__1024__0___824.png,1024,1024,1.9517,success,success,0,0,0,0,0,0,340,0,0,0,0,0,4,0,0
P1861__1024__824___0.png,1024,1024,1.9657,success,success,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P1020__1024__824___0.png,1024,1024,1.5692,success,success,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0
P0611__1024__0___589.png,1024,1024,1.436,success,success,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
P2455__1024__824___0.png,1024,1024,1.9214,success,success,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P1868__1024__4120___1648.png,1024,1024,1.7939,success,success,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1234__1024__2976___1648.png,1024,1024,1.0307,success,success,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
P0466__1024__0___391.png,1024,1024,1.5382,success,success,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
P0952__1024__5002___700.png,1024,1024,1.4859,success,success,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
P2422__1024__0___824.png,1024,1024,1.8003,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2030__1024__824___0.png,1024,1024,1.4344,success,success,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2740__1024__2883___0.png,1024,1024,1.1573,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1569__1024__1648___2472.png,1024,1024,0.6236,success,success,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P0964__1024__2474___127.png,1024,1024,1.8632,success,success,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0
P2280__1024__0___824.png,1024,1024,0.3841,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1351__1024__4176___0.png,1024,1024,1.5482,success,success,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
P2709__1024__0___1390.png,1024,1024,1.0468,success,success,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
P1403__1024__1648___2544.png,1024,1024,1.0511,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1598__1024__824___2472.png,1024,1024,0.9634,success,success,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
P1717__1024__1648___2472.png,1024,1024,0.7296,success,success,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
P2662__1024__1423___1909.png,1024,1024,2.1009,success,success,0,0,5,3,0,0,1,0,0,0,0,0,0,0,0
P1168__1024__0___0.png,1024,1024,1.3015,success,success,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
P1539__1024__824___0.png,1024,1024,0.5818,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1837__1024__124___0.png,1024,1024,1.9683,success,success,0,0,0,0,19,15,0,0,0,0,0,0,0,0,0
P2269__1024__205___0.png,1024,1024,1.7528,success,success,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
P1399__1024__4944___0.png,1024,1024,1.3561,success,success,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1240__1024__0___824.png,1024,1024,1.4389,success,success,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
P1634__1024__2472___2472.png,1024,1024,0.6555,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1573__1024__0___2472.png,1024,1024,0.6495,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2250__1024__0___0.png,1024,1024,1.4324,success,success,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
P0947__1024__824___0.png,1024,1024,1.8257,success,success,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
P1272__1024__3296___0.png,1024,1024,1.0791,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1455__1024__4756___0.png,1024,1024,1.8378,success,success,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
P0946__1024__1648___824.png,1024,1024,1.9288,success,success,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
P1211__1024__1648___0.png,1024,1024,0.8048,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0252__1024__0___350.png,1024,1024,1.7823,success,success,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
P1265__1024__3296___1648.png,1024,1024,0.9658,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1088__1024__575___824.png,1024,1024,1.7418,success,success,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1649__1024__2976___2472.png,1024,1024,0.9565,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1070__1024__1648___0.png,1024,1024,2.1434,success,success,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
P2030__1024__2472___0.png,1024,1024,1.5307,success,success,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1178__1024__3297___824.png,1024,1024,0.9593,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1365__1024__2472___824.png,1024,1024,1.5346,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0218__1024__824___824.png,1024,1024,1.6848,success,success,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1869__1024__6506___1648.png,1024,1024,0.9916,success,success,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1501__1024__0___2957.png,1024,1024,1.5449,success,success,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1297__1024__1648___0.png,1024,1024,1.2763,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0083__1024__1648___3462.png,1024,1024,1.8916,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P1384__1024__4120___824.png,1024,1024,1.9656,success,success,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
P1329__1024__2472___2472.png,1024,1024,1.252,success,success,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
P0348__1024__0___809.png,1024,1024,1.2091,success,success,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
P1258__1024__3296___2976.png,1024,1024,1.666,success,success,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P2527__1024__1309___1548.png,1024,1024,1.9897,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0978__1024__804___0.png,1024,1024,2.1257,success,success,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
P2523__1024__767___824.png,1024,1024,1.5428,success,success,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2802__1024__2472___1648.png,1024,1024,1.9734,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1866__1024__824___2496.png,1024,1024,1.881,success,success,0,0,0,0,0,0,46,0,0,0,0,0,1,0,0
P1656__1024__2472___2472.png,1024,1024,0.7743,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0453__1024__0___0.png,1024,1024,1.2617,success,success,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0
P2566__1024__0___0.png,1024,1024,1.8148,success,success,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0
P0020__1024__0___3296.png,1024,1024,1.6515,success,success,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
P0815__1024__144___0.png,1024,1024,1.4388,success,success,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0
P1377__1024__0___824.png,1024,1024,1.3392,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2045__1024__0___0.png,1024,1024,0.8237,success,success,0,0,0,0,23,0,0,12,0,0,0,0,0,0,0
P0896__1024__0___0.png,1024,1024,1.984,success,success,0,0,0,0,0,0,38,0,0,0,0,0,2,0,0
P1861__1024__0___2579.png,1024,1024,2.1149,success,success,0,0,0,0,9,1,0,1,0,0,0,0,0,0,0
P2714__1024__0___1426.png,1024,1024,2.0127,success,success,0,0,3,1,0,0,0,0,0,7,1,0,0,0,0
P1311__1024__1648___0.png,1024,1024,1.196,success,success,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P0828__1024__492___0.png,1024,1024,2.029,success,success,0,0,0,0,0,0,184,0,0,0,0,0,8,0,0
P1639__1024__824___0.png,1024,1024,0.8418,success,success,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P1159__1024__824___1648.png,1024,1024,1.0966,success,success,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P0343__1024__1649___92.png,1024,1024,1.6891,success,success,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
P1314__1024__0___2976.png,1024,1024,0.81,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1871__1024__824___3990.png,1024,1024,1.3747,success,success,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2404__1024__3296___3090.png,1024,1024,1.514,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1391__1024__4944___2472.png,1024,1024,1.6861,success,success,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2645__1024__3296___1648.png,1024,1024,2.0477,success,success,0,0,0,0,0,3,0,0,0,77,0,0,1,0,0
P1583__1024__1648___824.png,1024,1024,1.0027,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1640__1024__1648___2472.png,1024,1024,0.7974,success,success,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P1562__1024__2976___1648.png,1024,1024,0.535,success,success,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0255__1024__0___0.png,1024,1024,1.9418,success,success,41,0,0,0,0,0,0,0,0,0,0,0,0,0,2
P2751__1024__824___1648.png,1024,1024,1.8142,success,success,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
P0868__1024__824___0.png,1024,1024,1.7382,success,success,0,0,0,0,2,0,44,0,0,0,0,0,2,0,0
P1249__1024__0___0.png,1024,1024,1.3726,success,success,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
P2138__1024__0___1042.png,1024,1024,1.3131,success,success,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2725__1024__824___824.png,1024,1024,2.1178,success,success,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0
P1462__1024__4944___3793.png,1024,1024,1.9082,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1636__1024__1648___1648.png,1024,1024,1.0005,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1315__1024__824___2472.png,1024,1024,1.0543,success,success,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P2739__1024__0___1604.png,1024,1024,1.5763,success,success,0,0,0,0,0,9,0,0,0,15,0,0,0,0,0
P2669__1024__947___0.png,1024,1024,0.7212,success,success,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
P2496__1024__824___824.png,1024,1024,2.0502,success,success,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P1744__1024__0___2472.png,1024,1024,0.6727,success,success,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1784__1024__166___0.png,1024,1024,2.0168,success,success,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
P1571__1024__0___3940.png,1024,1024,0.7755,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1524__1024__824___2472.png,1024,1024,1.1083,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0856__1024__838___0.png,1024,1024,1.6059,success,success,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0
P1757__1024__2472___2976.png,1024,1024,0.8526,success,success,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P2751__1024__2700___1648.png,1024,1024,2.0123,success,success,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0
P0179__1024__3296___3296.png,1024,1024,1.7256,success,success,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0
P1570__1024__0___3296.png,1024,1024,0.7111,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1297__1024__1648___2472.png,1024,1024,1.1452,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1640__1024__2472___824.png,1024,1024,1.0469,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0961__1024__2472___0.png,1024,1024,1.5971,success,success,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
P1519__1024__2472___2976.png,1024,1024,0.8111,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1305__1024__2472___2472.png,1024,1024,1.2333,success,success,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
P2355__1024__0___977.png,1024,1024,1.7775,success,success,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P2156__1024__0___0.png,1024,1024,1.6053,success,success,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
P0466__1024__274___0.png,1024,1024,1.402,success,success,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0
P1200__1024__0___1648.png,1024,1024,0.8709,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0066__1024__824___824.png,1024,1024,1.5841,success,success,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
P2164__1024__0___1621.png,1024,1024,1.7501,success,success,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0
P2764__1024__1648___1648.png,1024,1024,1.2065,success,success,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
P1234__1024__2472___824.png,1024,1024,1.0126,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1508__1024__0___824.png,1024,1024,1.6045,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
P1556__1024__3270___824.png,1024,1024,0.6391,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0783__1024__0___340.png,1024,1024,1.5025,success,success,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1393__1024__1648___2472.png,1024,1024,1.706,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
P1738__1024__1648___824.png,1024,1024,1.0542,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2224__1024__3838___0.png,1024,1024,1.3047,success,success,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1517__1024__824___2472.png,1024,1024,0.6758,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1376__1024__824___3296.png,1024,1024,1.3909,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2725__1024__824___1648.png,1024,1024,2.0766,success,success,0,0,2,1,0,0,0,0,0,10,1,0,0,0,0
P1384__1024__0___2472.png,1024,1024,2.2408,success,success,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0
P1574__1024__2976___0.png,1024,1024,0.9143,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1582__1024__824___3947.png,1024,1024,0.6437,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1243__1024__2472___1648.png,1024,1024,1.9381,success,success,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
P1184__1024__1570___0.png,1024,1024,1.3793,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1688__1024__2472___1648.png,1024,1024,0.7719,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1615__1024__1648___824.png,1024,1024,0.8121,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0676__1024__0___0.png,1024,1024,0.6818,success,success,0,0,0,0,24,12,1,0,0,0,0,0,0,0,0
P1401__1024__3425___824.png,1024,1024,2.0036,success,success,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
